a;b;c;d;e;publishdate;title;slug;bangumi;fpost;av;link
276;10月28日;第6回キス我慢選手権 延長戦;日村勇紀（バナナマン）、田中卓志（アンガールズ）、成瀬心美;2012年;2012-10-28;NA;NA;NA;NA;NA;NA
277;11月4日;第6回キス我慢選手権 延長戦;日村勇紀（バナナマン）、田中卓志（アンガールズ）、成瀬心美;2012年;2012-11-04;NA;NA;NA;NA;NA;NA
278;11月11日;芸人一発ギャグ再生研究所;バナナマン、バカリズム、小島よしお;2012年;2012-11-11;NA;NA;NA;NA;NA;NA
279;11月18日;第8回芸能界キレ女塾;バカリズム、篠崎愛;2012年;2012-11-18;神舌 第八回生气女塾 筱崎爱 121117;2017-10-16-121117-4755070;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-121117-4755070.md;4755070;<a href='/post/2017-10-16-121117-4755070'>LINK</a>
280;11月25日;企画お試し飲み会;バナナマン、東京03、児嶋一哉（アンジャッシュ）;2012年;2012-11-25;NA;NA;NA;NA;NA;NA
281;12月2日;第3回バカヤロウ徒競走;山里亮太（南海キャンディーズ）、塚地武雅（ドランクドラゴン）、バイきんぐ、手島優、鬼ヶ島;2012年;2012-12-02;NA;NA;NA;NA;NA;NA
282;12月9日;第3回バカヤロウ徒競走;山里亮太（南海キャンディーズ）、塚地武雅（ドランクドラゴン）、バイきんぐ、手島優、鬼ヶ島;2012年;2012-12-09;NA;NA;NA;NA;NA;NA
283;12月16日;いきなり新曲スナック角ちゃん;バナナマン、東京03、荒井伝太;2012年;2012-12-16;NA;NA;NA;NA;NA;NA
284;12月23日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、森田涼花、スカイラブハリケーン;2012年;2012-12-23;NA;NA;NA;NA;NA;NA
285;12月28日;第10回芸人マジ歌選手権;バナナマン、東京03、大地洋輔（ダイノジ）、後藤輝基（フットボールアワー）、マキタスポーツ、千秋、博多大吉（博多華丸・大吉）、芹那;2012年;2012-12-28;艺人严肃歌曲选手权12.12.28;2017-10-16-121228-1712307;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-121228-1712307.md;1712307;<a href='/post/2017-10-16-121228-1712307'>LINK</a>
286;1月6日;第4回松丸プロデュース王決定戦;田中卓志（アンガールズ）;2013年;2013-01-06;NA;NA;NA;NA;NA;NA
287;1月13日;第2回ファンタジー芸人No.1決定戦;レイザーラモンRG、長野せりな、橘ゆりか、原田真緒、中村知世、篠原正明、冠仁、白石悠佳、山口河童、和田雄太、海宝真珠、小野大輔、田村ゆかり;2013年;2013-01-13;NA;NA;NA;NA;NA;NA
288;1月20日;第2回ファンタジー芸人No.1決定戦;レイザーラモンRG、長野せりな、橘ゆりか、原田真緒、中村知世、篠原正明、冠仁、白石悠佳、山口河童、和田雄太、海宝真珠、小野大輔、田村ゆかり;2013年;2013-01-20;NA;NA;NA;NA;NA;NA
289;1月27日;第1回イチャまんグランプリ;Hi-Hi、春日俊彰（オードリー）、星美りか、田中涼子、大堀恵;2013年;2013-01-27;NA;NA;NA;NA;NA;NA
290;2月3日;捨てるのはもったいない!未公開傑作選;-;2013年;2013-02-03;NA;NA;NA;NA;NA;NA
291;2月10日;THE破天荒2013;吉村崇（平成ノブシコブシ）、谷桃子、児嶋一哉（アンジャッシュ）;2013年;2013-02-10;NA;NA;NA;NA;NA;NA
292;2月17日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、逢沢りな、ななめ45°;2013年;2013-02-17;NA;NA;NA;NA;NA;NA
293;2月24日;第4回オオギリッシュNIGHT;バナナマン、バカリズム、ケンドーコバヤシ、大堀恵、滝川綾、亜里沙;2013年;2013-02-24;NA;NA;NA;NA;NA;NA
294;3月3日;300回記念直前 エロ哀しいかるたを作ろう;レイザーラモンRG、弾丸ジャッキー、ニイルセン;2013年;2013-03-03;NA;NA;NA;NA;NA;NA
295;3月10日;えらいこっちゃ!どないなっとんねん!ヘブリカンはダサぁない!アレンジさえすればホンマはめっさカッコええんやでー!!対決;後藤輝基（フットボールアワー）、小島瑠璃子、佳苗るか、丸高愛実、安藤遥、白河優菜、らっぷびと、L.A.5;2013年;2013-03-10;NA;NA;NA;NA;NA;NA
296;3月17日;第2回イチャまんグランプリ;ハマカーン、銀シャリ、壇蜜、田中涼子、大堀恵;2013年;2013-03-17;NA;NA;NA;NA;NA;NA
297;3月24日;仲直りフレンドパーク4;児嶋一哉（アンジャッシュ）、吉村崇（平成ノブシコブシ）、谷桃子;2013年;2013-03-24;NA;NA;NA;NA;NA;NA
298;3月31日;マジギライ1/5 〜おねだりマスカットSP!×ゴッドタン〜;恵比寿マスカッツ（希志あいの、初音みのり、蒼井そら、Rio、かすみ果穂、瑠川リナ、安藤あいか、結夜、永作あいり、児玉菜々子、篠原冴美、栗山夢衣、希崎ジェシカ、希島あいり、川村えな、山口愛実、坂本りおん、山中絢子、小倉遥、推川ゆうり）;2013年;2013-03-31;NA;NA;NA;NA;NA;NA
299;4月7日;爆乳ヤンキー新センターオーディション;爆乳ヤンキー（手島優・北条まみ・長岡美和）、田中涼子、森田涼花、タイナイス;2013年;2013-04-07;NA;NA;NA;NA;NA;NA
300;4月14日;ゴッドタン放送300回記念SP;バナナマン、スピードワゴン、春名風花;2013年;2013-04-14;NA;NA;NA;NA;NA;NA
301;4月21日;いきなり新曲スナック角ちゃん2;東京03、秋山竜次（ロバート）、川島明（麒麟）、荒井伝太;2013年;2013-04-21;NA;NA;NA;NA;NA;NA
302;4月28日;ザ・大声クイズ10;小峠英二（バイきんぐ）、川島邦裕（野性爆弾）、丸高愛実;2013年;2013-04-28;NA;NA;NA;NA;NA;NA
303;5月5日;マジ歌ライブ2013;バナナマン、東京03、後藤輝基（フットボールアワー）、大地洋輔（ダイノジ）、マキタスポーツ、大堀恵、田中涼子、爆乳ヤンキー（手島優・北条まみ・長岡美和）、タイナイス、L.A.5、荒井伝太;2013年;2013-05-05;NA;NA;NA;NA;NA;NA
304;5月12日;マジ歌ライブ2013;バナナマン、東京03、後藤輝基（フットボールアワー）、大地洋輔（ダイノジ）、マキタスポーツ、大堀恵、田中涼子、爆乳ヤンキー（手島優・北条まみ・長岡美和）、タイナイス、L.A.5、荒井伝太;2013年;2013-05-12;NA;NA;NA;NA;NA;NA
305;5月26日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、矢島舞美（℃-ute）、逢沢りな、国生さゆり、ザ・たっち;2013年;2013-05-26;NA;NA;NA;NA;NA;NA
306;6月2日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、矢島舞美（℃-ute）、逢沢りな、国生さゆり、ザ・たっち;2013年;2013-06-02;NA;NA;NA;NA;NA;NA
307;6月9日;芸人一発ギャグ再生研究所2;日村勇紀（バナナマン）、川島邦裕（野性爆弾）、アンガールズ;2013年;2013-06-09;NA;NA;NA;NA;NA;NA
308;6月16日;ゲーセワニュース2013;久田将義、吉田豪、杉作J太郎;2013年;2013-06-16;NA;NA;NA;NA;NA;NA
309;6月23日;公開直前!キス我慢選手権 THE MOVIEをみんなに見てもらおう;博多大吉（博多華丸・大吉）、石橋ゆう子;2013年;2013-06-23;NA;NA;NA;NA;NA;NA
310;6月27日;映画公開記念 キス我慢選手権;バナナマン、東野幸治、小島みなみ、七海なな;2013年;2013-06-27;NA;NA;NA;NA;NA;NA
310;6月27日;映画「ゴッドタン キス我慢選手権 THE MOVIE」公開記念松丸調子乗ってる度チェック;サンボマスター;2013年;2013-06-27;NA;NA;NA;NA;NA;NA
311;6月30日;キス我慢選手権 THE MOVIE アナザーストーリー;ハマカーン、紗倉まな;2013年;2013-06-30;NA;NA;NA;NA;NA;NA
312;7月7日;映画ヒット祈願!景気付けにおっぱいを見せてもらえ!;児嶋一哉（アンジャッシュ）、吉村崇（平成ノブシコブシ）、岸明日香、谷桃子;2013年;2013-07-07;NA;NA;NA;NA;NA;NA
313;7月14日;第9回芸能界キレ女塾;バカリズム、星名美津紀;2013年;2013-07-14;NA;NA;NA;NA;NA;NA
314;7月21日;アイドル飲み姿カワイイコンテスト;中村静香、今野杏南、西舘さをり;2013年;2013-07-21;NA;NA;NA;NA;NA;NA
315;7月28日;魁!設楽塾;設楽統（バナナマン）、山里亮太（南海キャンディーズ）、中岡創一（ロッチ）、由井香織;2013年;2013-07-28;NA;NA;NA;NA;NA;NA
316;8月4日;未公開悪ふざけ映像SP;-;2013年;2013-08-04;NA;NA;NA;NA;NA;NA
317;8月11日;第3回イチャまんグランプリ;アルコ&ピース、千鳥、田中涼子、小島みなみ、大堀恵;2013年;2013-08-11;神舌 第三届调情漫才 - 13.08.10_高清;2017-10-16-130810-1703294;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-130810-1703294.md;1703294;<a href='/post/2017-10-16-130810-1703294'>LINK</a>
318;8月18日;上品芸人ハメ外しクラブ2013夏;博多大吉（博多華丸・大吉）、川島明（麒麟）、吉村崇（平成ノブシコブシ）;2013年;2013-08-18;NA;NA;NA;NA;NA;NA
319;8月25日;芸能界ストイック暗記王12;狩野英孝、小峠英二（バイきんぐ）、飯尾和樹（ずん）;2013年;2013-08-25;NA;NA;NA;NA;NA;NA
320;9月1日;芸能界ストイック暗記王12;狩野英孝、小峠英二（バイきんぐ）、飯尾和樹（ずん）;2013年;2013-09-01;NA;NA;NA;NA;NA;NA
321;9月8日;いきなり新曲スナック角ちゃん3;東京03、川島明（麒麟）、レイザーラモンRG、荒井伝太;2013年;2013-09-08;NA;NA;NA;NA;NA;NA
322;9月15日;ヒム子のおネェドッキリ傑作選;-;2013年;2013-09-15;NA;NA;NA;NA;NA;NA
323;9月22日;マジギライ1/5;ハライチ、あべみほ、酒井蘭、小塚桃子、島﨑映次、あいな;2013年;2013-09-22;NA;NA;NA;NA;NA;NA
324;9月29日;この若手知ってんのか!?2013秋;銀シャリ、アルコ&ピース、三四郎、セルライトスパ、ルシファー吉岡、ライス、エル・カブキ、グランジ;2013年;2013-09-29;NA;NA;NA;NA;NA;NA
325;10月6日;キス我慢選手権 緊急スペシャル;笑福亭鶴瓶、美雪ありす、飯塚悟志（東京03）;2013年;2013-10-06;NA;NA;NA;NA;NA;NA
326;10月13日;マジギライ1/5;狩野英孝、新田まみ、柴原麻衣、武藤乃亜、渚光、あいな;2013年;2013-10-13;NA;NA;NA;NA;NA;NA
327;10月20日;魁!設楽塾2;設楽統（バナナマン）、山里亮太（南海キャンディーズ）、ネゴシックス、R藤本、片岡正徳（オオカミ少年）、山中絢子;2013年;2013-10-20;NA;NA;NA;NA;NA;NA
328;10月27日;照れキュート芸人更生プログラム;パンサー、℃-ute、バナナマン;2013年;2013-10-27;NA;NA;NA;NA;NA;NA
329;11月3日;照れキュート芸人更生プログラム;パンサー、℃-ute、バナナマン;2013年;2013-11-03;NA;NA;NA;NA;NA;NA
330;11月10日;アイドル飲み姿カワイイグランプリ;中村静香、丸高愛実、下田美咲;2013年;2013-11-10;NA;NA;NA;NA;NA;NA
331;11月17日;第2の劇団ひとりオーディション;三四郎、銀シャリ、小峠英二（バイきんぐ）、葵つかさ、紗倉まな、石橋ゆう子、島﨑映次;2013年;2013-11-17;NA;NA;NA;NA;NA;NA
332;11月24日;第2の劇団ひとりオーディション;三四郎、銀シャリ、小峠英二（バイきんぐ）、葵つかさ、紗倉まな、石橋ゆう子、島﨑映次;2013年;2013-11-24;NA;NA;NA;NA;NA;NA
333;12月1日;ウソツキング5;バナナマン、川島明（麒麟）;2013年;2013-12-01;NA;NA;NA;NA;NA;NA
334;12月8日;第5回オオギリッシュNIGHT;バナナマン、ケンドーコバヤシ、大悟（千鳥）、渕上彩夏、小原春香、藤岡静香;2013年;2013-12-08;NA;NA;NA;NA;NA;NA
335;12月15日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、奥仲麻琴（PASSPO☆）;2013年;2013-12-15;NA;NA;NA;NA;NA;NA
336;12月22日;マジ歌名フレーズランキング;-;2013年;2013-12-22;NA;NA;NA;NA;NA;NA
337;1月4日;第11回芸人マジ歌選手権;バナナマン、東京03、後藤輝基（フットボールアワー）、マキタスポーツ、小峠英二（バイきんぐ）天野ひろゆき（キャイ〜ン）、小島瑠璃子、川島明（麒麟）、加藤育実、逢月ひな（サンミニ）、;2014年;2014-01-04;NA;NA;NA;NA;NA;NA
338;1月12日;第11回芸人マジ歌選手権 完全版SP;バナナマン、東京03、後藤輝基（フットボールアワー）、マキタスポーツ、小峠英二（バイきんぐ）天野ひろゆき（キャイ〜ン）、小島瑠璃子、川島明（麒麟）、加藤育実、逢月ひな（サンミニ）、;2014年;2014-01-12;NA;NA;NA;NA;NA;NA
339;1月19日;バカリズムに女友達を作ろう;バカリズム、渕上彩夏、中村静香、東條ナナ、二瓶有加、水口亘、谷桃子;2014年;2014-01-19;NA;NA;NA;NA;NA;NA
340;1月26日;山里のアイドルコンサルティング大作戦;日村勇紀（バナナマン）、山里亮太（南海キャンディーズ）、手島優;2014年;2014-01-26;NA;NA;NA;NA;NA;NA
341;2月2日;マジギライ1/5;西野亮廣（キングコング）、高橋杏奈、桜井未来、北山奈都美、二瓶有加、水口亘、あいな;2014年;2014-02-02;NA;NA;NA;NA;NA;NA
342;2月9日;魁!設楽塾3;設楽統（バナナマン）、山里亮太（南海キャンディーズ）、ネゴシックス、R藤本、片岡正徳（オオカミ少年）、由井香織;2014年;2014-02-09;NA;NA;NA;NA;NA;NA
343;2月16日;第4回イチャまんグランプリ;村本大輔（ウーマンラッシュアワー）、鬼ヶ島、齊藤夢愛、小島みなみ、上原亜衣、大堀恵;2014年;2014-02-16;NA;NA;NA;NA;NA;NA
344;3月2日;スランプ芸人 救済スペシャル;飯塚悟志（東京03）、三四郎、谷桃子、島崎映次;2014年;2014-03-02;NA;NA;NA;NA;NA;NA
345;3月9日;第6回オオギリッシュNIGHT;バナナマン、ケンドーコバヤシ、吉村崇（平成ノブシコブシ）、渕上彩夏、小原春香、藤岡静香;2014年;2014-03-09;NA;NA;NA;NA;NA;NA
346;3月16日;このアイドル知ってんのか!?2014;トレンディエンジェル、大蔵ともあき、宗像明将、塚本舞、Juice=Juice、BiS、小池美由;2014年;2014-03-16;NA;NA;NA;NA;NA;NA
347;3月23日;第2回バカリズムに女友達を作ろう;バカリズム、逢沢りな、蓼沼楓、小池美由、二瓶有加、山岸あき、Pちゃん;2014年;2014-03-23;NA;NA;NA;NA;NA;NA
348;3月30日;ゴッドタン2013年度スター名鑑;-;2014年;2014-03-30;NA;NA;NA;NA;NA;NA
349;4月6日;ヒム子のアイドル性格チェックSP in TGC;バナナマン、小松彩夏;2014年;2014-04-06;NA;NA;NA;NA;NA;NA
350;4月13日;第3回アイドル飲み姿カワイイGP;オダギリジョー、中村静香、岸明日香、脊山麻理子;2014年;2014-04-13;NA;NA;NA;NA;NA;NA
351;4月20日;芸能界ストイック暗記王13;ハライチ、飯塚悟志（東京03）、大久保佳代子（オアシズ）、かもめんたる、しみけん;2014年;2014-04-20;禁欲暗记王 140419【伦敦之心字幕组】;2017-10-16-140419-4399577;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-140419-4399577.md;4399577;<a href='/post/2017-10-16-140419-4399577'>LINK</a>
352;4月27日;芸能界ストイック暗記王13;ハライチ、飯塚悟志（東京03）、大久保佳代子（オアシズ）、かもめんたる、しみけん;2014年;2014-04-27;NA;NA;NA;NA;NA;NA
353;5月4日;芸人マジ歌ライブ2014;バナナマン、東京03、後藤輝基（フットボールアワー）、大地洋輔（ダイノジ）、マキタスポーツ、小峠英二（バイきんぐ）ネゴシックス、小池美由、二瓶有加、水口亘、Pちゃん、三四郎、℃-ute;2014年;2014-05-04;严肃歌曲Live上半场，爆笑演出不断，℃-ute乱入 14.05.03;2017-10-16-140503-1526599;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-140503-1526599.md;1526599;<a href='/post/2017-10-16-140503-1526599'>LINK</a>
354;5月11日;芸人マジ歌ライブ2014;バナナマン、東京03、後藤輝基（フットボールアワー）、大地洋輔（ダイノジ）、マキタスポーツ、小峠英二（バイきんぐ）ネゴシックス、小池美由、二瓶有加、水口亘、Pちゃん、三四郎、℃-ute;2014年;2014-05-11;NA;NA;NA;NA;NA;NA
355;5月18日;未公開スペシャル;-;2014年;2014-05-18;NA;NA;NA;NA;NA;NA
356;5月25日;コンビ愛確かめ選手権;千鳥、ダイノジ、渕上彩夏、平塚奈菜、山岸あき;2014年;2014-05-25;NA;NA;NA;NA;NA;NA
357;6月1日;コンビ愛確かめ選手権;千鳥、ダイノジ、渕上彩夏、平塚奈菜、山岸あき;2014年;2014-06-01;NA;NA;NA;NA;NA;NA
358;6月8日;第10回芸能界キレ女塾;バカリズム、森田涼花、小沢一敬（スピードワゴン）;2014年;2014-06-08;NA;NA;NA;NA;NA;NA
359;6月22日;仲直りフレンドパーク5;西野亮廣（キングコング）、水口亘、二瓶有加;2014年;2014-06-22;重归于好基友公园，被讨厌的KINGKONG西野登场！2014.06.21;2017-10-16-140621-1687396;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-140621-1687396.md;1687396;<a href='/post/2017-10-16-140621-1687396'>LINK</a>
360;6月29日;リアルザキヤマ脱出ゲーム;山崎弘也（アンタッチャブル）、小峠英二（バイきんぐ）、銀シャリ;2014年;2014-06-29;谐星VS恶搞王地狱的新企划！2014.06.28【伦敦之心字幕组】;2017-10-16-140628-1657121;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-140628-1657121.md;1657121;<a href='/post/2017-10-16-140628-1657121'>LINK</a>
361;7月6日;上品芸人ハメ外しクラブ2014夏;博多大吉（博多華丸・大吉）、川島明（麒麟）、スギちゃん;2014年;2014-07-06;NA;NA;NA;NA;NA;NA
362;7月13日;ザ・大声クイズ11;三四郎、日村勇紀（バナナマン）、おのののか;2014年;2014-07-13;NA;NA;NA;NA;NA;NA
363;7月20日;第7回オオギリッシュNIGHT;バナナマン、ケンドーコバヤシ、川島邦裕（野性爆弾）、渕上彩夏、高崎聖子、小間千代;2014年;2014-07-20;NA;NA;NA;NA;NA;NA
364;7月27日;ノブでピンでも入るようにしてあげよう!;千鳥、西澤裕介（ダイアン）、西野晶雄（シンプル）、お兄ちゃん（ビタミンS）、愛沢えみり、島崎映次、Pちゃん;2014年;2014-07-27;NA;NA;NA;NA;NA;NA
365;8月10日;魁!設楽塾4 山里軍団ファイナル;設楽統（バナナマン）、山里亮太（南海キャンディーズ）、ネゴシックス、R藤本、片岡正徳（オオカミ少年）;2014年;2014-08-10;NA;NA;NA;NA;NA;NA
366;8月17日;もうお盆だよ!キモンスターズ・チャンプ6;バナナマン、アルコ&ピース;2014年;2014-08-17;140816 神舌 谁是恶心艺人NO.1;2017-10-16-140816-2267825;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-140816-2267825.md;2267825;<a href='/post/2017-10-16-140816-2267825'>LINK</a>
367;8月24日;第12回ヒドイ女サミット;山里亮太（南海キャンディーズ）、村本大輔（ウーマンラッシュアワー）、脊山麻理子;2014年;2014-08-24;过分女首脑峰会，村本山里加入！讲述过去的糟糕经历 2014.08.23;2017-10-16-140823-1584153;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-140823-1584153.md;1584153;<a href='/post/2017-10-16-140823-1584153'>LINK</a>
368;8月31日;第5回イチャまんグランプリ;ナイツ、どぶろっく、小田あさ美、小島みなみ、中村静香;2014年;2014-08-31;NA;NA;NA;NA;NA;NA
369;9月7日;マジギライ1/5;ダイノジ、立花亜野芽、木嶋のりこ、初原千絵、HIDE、あいな;2014年;2014-09-07;真的讨厌1/5 Dainoji大谷 2014.09.06【伦敦之心字幕】;2017-10-16-140906-1770473;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-140906-1770473.md;1770473;<a href='/post/2017-10-16-140906-1770473'>LINK</a>
370;9月14日;第2回コンビ愛確かめ選手権;バナナマン、博多華丸・大吉、インパルス、橋本彩、高橋杏奈、池田ショコラ;2014年;2014-09-14;搞笑艺人组合CP爱测试大赛（前篇）2014.09.13【伦敦之心字幕组】;2017-10-16-140913-1620469;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-140913-1620469.md;1620469;<a href='/post/2017-10-16-140913-1620469'>LINK</a>
371;9月21日;第2回コンビ愛確かめ選手権;バナナマン、博多華丸・大吉、インパルス、橋本彩、高橋杏奈、池田ショコラ;2014年;2014-09-21;NA;NA;NA;NA;NA;NA
372;9月28日;第4回アイドル飲み姿カワイイGP;岸明日香、佐藤かよ、葉加瀬マイ;2014年;2014-09-28;三周年第五弹 140927 神舌 第四届醉酒大赛;2017-10-16-140927-2374460;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-140927-2374460.md;2374460;<a href='/post/2017-10-16-140927-2374460'>LINK</a>
373;10月5日;問題児更生施設 川島学園;川島明（麒麟）、小沢一敬（スピードワゴン）、ネゴシックス、三四郎、渕上彩夏、小池美由、二瓶有加、水口亘、Pちゃん;2014年;2014-10-05;NA;NA;NA;NA;NA;NA
374;10月12日;ヒム子のアイドル性格チェックSP;バナナマン、森山直太朗、岡本杏理、江戸むらさき;2014年;2014-10-12;神舌141011 偶像性格测试;2017-10-16-141011-2133259;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-141011-2133259.md;2133259;<a href='/post/2017-10-16-141011-2133259'>LINK</a>
375;10月19日;映画公開記念 おっぱいを見せてもらおう!;三四郎、流れ星、小間千代、倉持由香;2014年;2014-10-19;神舌141018 kiss忍耐电影SP 给我看欧派;2017-10-16-141018-2073318;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-141018-2073318.md;2073318;<a href='/post/2017-10-16-141018-2073318'>LINK</a>
376;10月26日;オオギリッシュ大人の社会科見学;日村勇紀（バナナマン）、バカリズム、川島邦裕（野性爆弾）、白石茉莉奈、小島みなみ;2014年;2014-10-26;NA;NA;NA;NA;NA;NA
377;11月2日;アイドル飲み姿カワイイGP 東野カップ;東野幸治、佐藤かよ、今野杏南、下田美咲、Pちゃん、あいな;2014年;2014-11-02;141101 偶像醉酒大赛特别篇 东野幸治参战;2017-10-16-141101-2353786;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-141101-2353786.md;2353786;<a href='/post/2017-10-16-141101-2353786'>LINK</a>
378;11月9日;芸能界ストイック暗記王14;インパルス、千鳥、レイザーラモンRG、飯塚悟志（東京03）、ラバーガール;2014年;2014-11-09;NA;NA;NA;NA;NA;NA
379;11月16日;芸能界ストイック暗記王14;インパルス、千鳥、レイザーラモンRG、飯塚悟志（東京03）、ラバーガール;2014年;2014-11-16;神舌 141115 禁欲暗记王;2017-10-16-141115-2196783;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-141115-2196783.md;2196783;<a href='/post/2017-10-16-141115-2196783'>LINK</a>
380;11月23日;未公開スペシャル;-;2014年;2014-11-23;神舌141122 未公开SP;2017-10-16-141122-2097322;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-141122-2097322.md;2097322;<a href='/post/2017-10-16-141122-2097322'>LINK</a>
381;11月30日;ザ・大声クイズ12;西野亮廣（キングコング）、ネゴシックス、岡井千聖（℃-ute）;2014年;2014-11-30;141129 神舌 嗓门大竞猜;2017-10-16-141129-2393714;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-141129-2393714.md;2393714;<a href='/post/2017-10-16-141129-2393714'>LINK</a>
382;12月7日;第5回照れカワ芸人更生プログラム;パンサー、ラバーガール、山崎弘也（アンタッチャブル）、私立恵比寿中学、谷桃子;2014年;2014-12-07;141206 神舌 害羞艺人再生计划;2017-10-16-141206-2422122;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-141206-2422122.md;2422122;<a href='/post/2017-10-16-141206-2422122'>LINK</a>
383;12月14日;第5回照れカワ芸人更生プログラム;パンサー、ラバーガール、山崎弘也（アンタッチャブル）、私立恵比寿中学、谷桃子;2014年;2014-12-14;141213 神舌 害羞艺人改造企划;2017-10-16-141213-2824512;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-141213-2824512.md;2824512;<a href='/post/2017-10-16-141213-2824512'>LINK</a>
384;12月21日;マジギライ1/5;鈴木拓（ドランクドラゴン）、木嶋ゆり、遠藤三貴、芦原優愛、長南亮、あいな;2014年;2014-12-21;神舌141220 真的讨厌5/1 铃木拓VS格斗家;2017-10-16-141220-2230851;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-141220-2230851.md;2230851;<a href='/post/2017-10-16-141220-2230851'>LINK</a>
385;1月3日;第12回芸人マジ歌選手権;バナナマン、東京03、ダイノジ、秋山竜次（ロバート）、黒沢かずこ（森三中）、後藤輝基（フットボールアワー）小出祐介（Base Ball Bear）、おのののか、川島明（麒麟）、丸高愛実、三四郎、加藤育実、逢月ひな（サンミニ）;2015年;2015-01-03;NA;NA;NA;NA;NA;NA
386;1月11日;第12回芸人マジ歌選手権 完全版SP;バナナマン、東京03、ダイノジ、秋山竜次（ロバート）、黒沢かずこ（森三中）、後藤輝基（フットボールアワー）小出祐介（Base Ball Bear）、おのののか、川島明（麒麟）、丸高愛実、三四郎、加藤育実、逢月ひな（サンミニ）;2015年;2015-01-11;NA;NA;NA;NA;NA;NA
387;1月25日;おぎやはぎはもうジジイなのか?キレ悪検証テスト;斉藤慎二（ジャングルポケット）、永井佑一郎、小池美由;2015年;2015-01-25;150124 神舌 迟钝检验测试;2017-10-16-150124-2574329;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150124-2574329.md;2574329;<a href='/post/2017-10-16-150124-2574329'>LINK</a>
388;2月1日;第3回コンビ愛確かめ選手権;アンジャッシュ、スピードワゴン、ハライチ;2015年;2015-02-01;150131 神舌 组合爱测试锦标赛;2017-10-16-150131-2761084;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150131-2761084.md;2761084;<a href='/post/2017-10-16-150131-2761084'>LINK</a>
389;2月8日;第3回コンビ愛確かめ選手権;アンジャッシュ、スピードワゴン、ハライチ;2015年;2015-02-08;150207 神舌 组合爱测试锦标赛（后篇）;2017-10-16-150207-2866355;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150207-2866355.md;2866355;<a href='/post/2017-10-16-150207-2866355'>LINK</a>
390;2月15日;第4回エロ哀しい話座談会;豊本明長（東京03）、ラブレターズ;2015年;2015-02-15;150214 神舌 悲惨座谈会;2017-10-16-150214-2430759;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150214-2430759.md;2430759;<a href='/post/2017-10-16-150214-2430759'>LINK</a>
391;2月22日;マジギライオールスターの魅力再発見SP;岡井千聖（℃-ute）;2015年;2015-02-22;150221 神舌 重新寻找魅力特别篇;2017-10-16-150221-2943945;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150221-2943945.md;2943945;<a href='/post/2017-10-16-150221-2943945'>LINK</a>
392;2月28日;第2の劇団ひとりオーディション;飯塚悟志（東京03）、斉藤慎二（ジャングルポケット）、上原亜衣、白石茉莉奈、石橋ゆう子;2015年;2015-02-28;NA;NA;NA;NA;NA;NA
393;3月8日;55分押しだから流せる禁断の未公開映像SP;-;2015年;2015-03-08;150307 神舌 未公开SP;2017-10-16-150307-2476903;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150307-2476903.md;2476903;<a href='/post/2017-10-16-150307-2476903'>LINK</a>
394;3月15日;この若手知ってんのか!?2015;アルコ&ピース、三四郎、片山勝三、児島気奈、モグライダー、ザ☆忍者、おかずクラブ、スーパーニュウニュウ、巨匠;2015年;2015-03-15;150314 神舌 艺能界新人现状大调查;2017-10-16-150314-2912928;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150314-2912928.md;2912928;<a href='/post/2017-10-16-150314-2912928'>LINK</a>
